1116,RunDuration,"Activity, Workouts",Daily,sum of minutes (including the manually added minutes) spent running,minutes,LONG,checked,checked,checked,checked,,checked,checked,checked,,checked,,,,checked,checked,,,,
1117,BikeBinary,"Activity, Workouts",Epoch,biking detected (in this timeframe),,BOOLEAN,checked,checked,checked,checked,,checked,checked,checked,,checked,,,,,checked,,checked,,
1117,BikeDuration,"Activity, Workouts",Daily,sum of minutes (including the manually added minutes) spent biking,minutes,LONG,checked,checked,checked,checked,,checked,checked,checked,,checked,,,,,checked,,,,
1119,SittingBinary,Activity,Epoch,sitting detected (in this timeframe),,BOOLEAN,,,,,,,,,,,,,,,,,,,
1120,LeisureBinary,Activity,Epoch,leisure activity detected (in this timeframe),,BOOLEAN,,,,,,,,,,,,,,,,,,,
1200,ActivityType,"Activity, Workouts",Epoch,ID of the broad activity category,,LONG,checked,checked,checked,checked,,checked,checked,checked,,checked,checked,,,checked,checked,,checked,,checked
1201,ActivityTypeDetail1,"Activity, Workouts",Epoch,ID of the specific activity category,,LONG,checked,checked,checked,checked,,checked,checked,checked,,checked,,,,checked,checked,,checked,,checked
1202,ActivityTypeDetail2,"Activity, Workouts",Epoch,ID of the very specific activity category,,LONG,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,checked,checked,,checked,,checked
1250,ActivityLap,Workouts,Epoch,Detected activity lap,,BOOLEAN,,checked,,,,,checked,,,,,,,,,,,,
1260,Cadence,Workouts,Epoch,The activity's average cadence,,DOUBLE,,checked,checked,,,,checked,,,checked,,,,,,,,,checked
1261,Speed,Workouts,Epoch,"The activity's average speed, in meters per second",meters per second,DOUBLE,,checked,checked,checked,,,checked,,,checked,,,,,,,,,checked
1262,MaxSpeed,Workouts,Epoch,"The activity's max speed, in meters per second",meters per second,DOUBLE,,,,,,,,,,checked,,,,,,,,,
1263,Pace,Workouts,Epoch,"The activity's average pace, in minutes per kilometer",minutes per kilometer,DOUBLE,,checked,,,,,,,,checked,,,,,,,,,
1264,MaxPace,Workouts,Epoch,"The activity's max pace, in minutes per kilometer",minutes per kilometer,DOUBLE,,,,,,,,,,,,,,,,,,,
1265,PowerInWatts,Workouts,Epoch,Watts produced during training,watts,DOUBLE,,checked,checked,checked,,,checked,,,,,,,,,,,,checked
1266,StrideLength,"Workouts, Movement Analysis",Epoch,Average length of the user’s step in cm,centimeters,LONG,,,,checked,,,,,,,,,,,,,,,
1267,GroundContactTime,"Workouts, Movement Analysis",Epoch,Amount of time the runner’s foot is in contact with the ground while running in ms,milliseconds,LONG,,,,checked,,,,,,,,,,,,,,,
1268,VerticalOscillation,"Workouts, Movement Analysis",Epoch,Vertical range of motion of the pelvis during a single running stride in cm,centimeters,DOUBLE,,,,checked,,,,,,,,,,,,,,,
1270,DetailedCadence,Workouts,Epoch,The detailed activity's average cadence,,DOUBLE,,checked,,,,,checked,,,,,,,,,,,,
1271,DetailedSpeed,Workouts,Epoch,"The detailed activity's average speed, in meters per second",meters per second,DOUBLE,,checked,,,,,checked,,,,,,,,,,,,
